bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
1.0;0.0;4.0;12.0;1.0;0.0;2.0;2.0;1517.4;28012.000000000004;168.0;-3.700125595004782;40.410821539084445;1157.0;325.0;64.0;35.0;1.0;154.0;10.0;69.00000000000001
1.0;1.0;4.0;17.999999999999996;0.0;1.0;4.0;1.0;1239.9999999999998;28004.000000000004;150.0;-3.698586365354264;40.42408538928343;732.0;411.8;35.0;32.0;2.0;310.0;11.0;54.99999999999999
1.0;1.0;4.0;40.0;1.0;0.0;1.0;2.0;1099.8;28014.0;200.0;-3.695227154107571;40.415315297523534;1886.0;273.2;40.0;22.0;4.0;277.0;10.0;68.0
1.0;1.0;2.0;27.000000000000004;1.0;0.0;1.0;1.0;1444.0;28006.0;200.0;-3.673384521524356;40.42601132746248;1783.9999999999998;547.0;26.0;16.0;1.0;289.0;8.0;95.0
1.0;1.0;2.0;25.0;1.0;0.0;1.0;1.0;1750.0000000000002;28004.000000000004;120.0;-3.704724193503221;40.42614612847598;732.0;489.0;1.0;1.0;3.0000000000000004;252.00000000000003;1.0;45.0
1.0;2.0;4.0;35.0;1.0;0.0;2.0;2.0;1990.4;28013.0;100.0;-3.706800609359069;40.41929110299047;1735.0;288.2;22.0;6.0;24.000000000000004;112.0;3.0;87.0
1.0;1.0;3.0;20.0;1.0;0.0;2.0;2.0;1250.0;28012.000000000004;100.0;-3.7055251112027054;40.41309417537824;1663.0000000000002;410.0;40.0;30.0;8.0;301.0;12.0;63.000000000000014
1.0;3.0000000000000004;1.0;10.0;0.0;1.0;3.0;1.0;1818.0;28012.000000000004;200.0;-3.703210060557552;40.40784735561761;2092.0;397.0;66.0;36.0;2.0;67.0;6.0;20.0
1.0;1.0;1.0;14.4;0.0;1.0;1.0;1.0;1165.0;28012.000000000004;210.0;-3.7057421241835473;40.41064911475254;1161.0;371.2000000000001;63.00000000000001;37.0;1.0;338.0;7.0;25.0
1.0;1.0;4.0;20.0;1.0;0.0;2.0;3.0;2500.0;28012.000000000004;160.0;-3.7059297864389538;40.41470528379261;1064.0;700.0;0.0;0.0;1.0;0.0;0.0;90.0
1.0;1.0;4.0;30.0;1.0;0.0;2.0;2.0;1450.0;28013.0;150.0;-3.710567779390934;40.420774012518464;1767.0;480.0;11.0;11.0;10.0;100.0;3.0;75.0
2.0;1.0;2.0;20.4;0.0;1.0;1.0;1.0;1433.0;28039.0;180.0;-3.701744576507115;40.45866343492137;32.0;275.2;84.0;54.0;1.0;174.0;24.0;48.0
1.5;1.0;1.0;22.0;0.0;1.0;1.0;1.0;1116.0;28041.0;147.0;-3.695494562172337;40.35971239474707;75.0;513.2;0.0;0.0;4.0;184.0;0.0;10.0
